Farm,Location,Time,Morph3_prop,Morph2_prop,Morph1_prop,Prop_rdar,Prop_other,Morph3_count,Morph2_count,Morph1_count,Count_rdar,Count_other,,,,
1,Cow_Housing,1,0.59,0.128,0.282,0.59,0.41,23,5,11,23,16,0.58974359,0.41025641,,0.41
1,Cow_Housing,2,0.46,0.24,0.3,0.46,0.54,23,12,15,23,27,,,,
1,Cow_Housing,3,0.15,0.05,0.8,0.15,0.85,3,1,16,3,17,,,,
1,Manure_Storage,1,0.231,0.103,0.667,0.231,0.77,9,4,26,9,30,,,,
1,Manure_Storage,2,0.4,0.125,0.475,0.4,0.6,16,5,19,16,24,,,,
1,Manure_Storage,3,0.103,0.103,0.793,0.103,0.896,3,3,23,3,26,,,,
1,Field,1,0,0.143,0.857,0,1,0,1,6,0,7,,,,
1,Field,2,0.646,0.229,0.125,0.646,0.354,31,11,6,31,17,,,,
1,Field,3,0.267,0.2,0.533,0.267,0.733,8,6,16,8,22,,,,
1,Drain_Pipe,1,0.525,0.15,0.325,0.525,0.475,42,12,26,42,38,,,,
1,Drain_Pipe,2,0.553,0.165,0.282,0.553,0.447,47,14,24,47,38,,,,
1,Drain_Pipe,3,0.6,0.107,0.293,0.6,0.4,45,8,22,45,30,,,,
2,Cow_Housing,1,0.261,0.283,0.457,0.261,0.74,12,13,21,12,34,,,,
2,Cow_Housing,2,0.286,0.51,0.204,0.286,0.714,14,25,10,14,35,,,,
2,Cow_Housing,3,0.438,0.354,0.208,0.438,0.562,21,17,10,21,27,,,,
2,Cow_Housing,4,0.136,0.818,0.045,0.136,0.863,3,18,1,3,19,,,,
2,Manure_Storage,1,0.386,0.023,0.591,0.386,0.614,17,1,26,17,27,,,,
2,Manure_Storage,2,0.489,0.089,0.422,0.489,0.511,22,4,19,22,23,,,,
2,Manure_Storage,3,0.341,0.295,0.364,0.341,0.659,15,13,16,15,29,,,,
2,Field,1,0.32,0.42,0.26,0.32,0.68,16,21,13,16,34,,,,
2,Field,2,0.408,0.061,0.531,0.408,0.592,20,3,26,20,29,,,,
2,Field,3,0.24,0.18,0.58,0.24,0.76,12,9,29,12,38,,,,
2,Field,4,0.22,0.2,0.58,0.22,0.78,11,10,29,11,39,,,,
2,Drain_Pipe,1,0.574,0.17,0.255,0.574,0.425,81,24,36,81,60,,,,
2,Drain_Pipe,2,0.408,0.223,0.369,0.408,0.592,53,29,48,53,77,,,,
2,Drain_Pipe,3,0.414,0.224,0.362,0.414,0.586,24,13,21,24,34,,,,
2,Drain_Pipe,4,0.612,0.102,0.286,0.612,0.388,90,15,42,90,57,,,,
3,Cow_Housing,1,0.104,0.224,0.673,0.104,0.897,5,11,33,5,44,,,,
3,Cow_Housing,2,0.247,0.267,0.486,0.247,0.753,36,39,71,36,110,,,,
3,Cow_Housing,3,0.735,0.184,0.082,0.735,0.266,36,9,4,36,13,,,,
3,Manure_Storage,1,0.188,0.104,0.708,0.188,0.812,9,5,34,9,39,,,,
3,Manure_Storage,2,0.176,0.216,0.608,0.176,0.824,26,32,90,26,122,,,,
3,Manure_Storage,3,0.093,0.419,0.488,0.093,0.907,4,18,21,4,39,,,,
3,Field,1,0.24,0.14,0.62,0.24,0.76,12,7,31,12,38,,,,
3,Field,2,0.055,0.103,0.842,0.055,0.945,8,15,123,8,138,,,,
3,Field,3,0,0.061,0.939,0,1,0,3,46,0,49,,,,
3,Drain_Pipe,1,0.007,0.06,0.933,0.007,0.993,1,8,125,1,133,,,,
3,Drain_Pipe,2,0.055,0.103,0.842,0.055,0.945,8,15,123,8,138,,,,
3,Drain_Pipe,3,0.033,0.049,0.919,0.033,0.968,4,6,113,4,119,,,,
