Day,Plate,Set,DF,Spot_1,Spot_2,Spot_3,Volume,CFU_ml,log_CFU_ml
5,1,1-1,-4,13,16,13,0.18,14000000,7.146128036
5,1,1-2,-3,25.5,24,27,0.18,2550000,6.40654018
5,1,1-2,-4,4,7,3,0.18,4666666.667,6.669006781
5,1,1-3,-3,18,19,31,0.18,2266666.667,6.355387658
5,2,2-1,-5,12,6,10,0.18,93333333.33,7.970036777
5,2,2-2,-4,7,4,11,0.18,7333333.333,6.865301426
5,2,2-3,-3,10,8,8,0.18,866666.6667,5.937852093
0,1,1-1,-5,52,52,52,0.18,520000000,8.716003344
0,1,1-2,-5,55,55,55,0.18,550000000,8.740362689
0,1,1-3,-5,47,47,47,0.18,470000000,8.672097858
0,1,1-1,-6,12,12,12,0.18,1200000000,9.079181246
0,1,1-2,-6,9,9,9,0.18,900000000,8.954242509
0,1,1-3,-6,12,12,12,0.18,1200000000,9.079181246
0,1,1-1,-7,0,0,0,0.18,0,NA
0,1,1-2,-7,4,4,4,0.18,4000000000,9.602059991
0,1,1-3,-7,2,2,2,0.18,2000000000,9.301029996
0,2,2-3,-5,42,42,42,0.18,420000000,8.62324929
0,2,2-2,-6,7,7,7,0.18,700000000,8.84509804
0,2,2-3,-6,8,8,8,0.18,800000000,8.903089987
0,2,2-2,-7,2,2,2,0.18,2000000000,9.301029996
0,2,2-3,-7,4,4,4,0.18,4000000000,9.602059991
