Week,Pot,Date of Plating,Date of CR morphotype ID,Subsample,Sample ID,Isolate,CRScore
0,1,6/18/2015,6/25/2015,1,C1.0.1,1,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,2,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,3,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,4,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,5,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,6,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,7,NA
0,1,6/18/2015,6/25/2015,1,C1.0.1,8,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,1,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,2,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,3,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,4,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,5,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,6,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,7,NA
0,1,6/18/2015,6/25/2015,2,C1.0.2,8,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,1,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,2,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,3,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,4,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,5,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,6,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,7,NA
0,2,6/18/2015,6/25/2015,1,C2.0.1,8,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,1,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,2,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,3,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,4,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,5,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,6,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,7,NA
0,2,6/18/2015,6/25/2015,2,C2.0.2,8,NA
0,3,6/18/2015,6/25/2015,1,C3.0.1,1,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,2,5
0,3,6/18/2015,6/25/2015,1,C3.0.1,3,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,4,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,5,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,6,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,7,4
0,3,6/18/2015,6/25/2015,1,C3.0.1,8,4
0,3,6/18/2015,6/25/2015,2,C3.0.2,1,3
0,3,6/18/2015,6/25/2015,2,C3.0.2,2,3
0,3,6/18/2015,6/25/2015,2,C3.0.2,3,3
0,3,6/18/2015,6/25/2015,2,C3.0.2,4,5
0,3,6/18/2015,6/25/2015,2,C3.0.2,5,4
0,3,6/18/2015,6/25/2015,2,C3.0.2,6,5
0,3,6/18/2015,6/25/2015,2,C3.0.2,7,3
0,3,6/18/2015,6/25/2015,2,C3.0.2,8,3
0,4,6/18/2015,6/25/2015,1,C4.0.1,1,3
0,4,6/18/2015,6/25/2015,1,C4.0.1,2,3
0,4,6/18/2015,6/25/2015,1,C4.0.1,3,5
0,4,6/18/2015,6/25/2015,1,C4.0.1,4,5
0,4,6/18/2015,6/25/2015,1,C4.0.1,5,4
0,4,6/18/2015,6/25/2015,1,C4.0.1,6,3
0,4,6/18/2015,6/25/2015,1,C4.0.1,7,5
0,4,6/18/2015,6/25/2015,1,C4.0.1,8,5
0,4,6/18/2015,6/25/2015,2,C4.0.2,1,3
0,4,6/18/2015,6/25/2015,2,C4.0.2,2,3
0,4,6/18/2015,6/25/2015,2,C4.0.2,3,4
0,4,6/18/2015,6/25/2015,2,C4.0.2,4,4
0,4,6/18/2015,6/25/2015,2,C4.0.2,5,5
0,4,6/18/2015,6/25/2015,2,C4.0.2,6,5
0,4,6/18/2015,6/25/2015,2,C4.0.2,7,3
0,4,6/18/2015,6/25/2015,2,C4.0.2,8,4
0,5,6/18/2015,6/25/2015,1,C5.0.1,1,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,2,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,3,4
0,5,6/18/2015,6/25/2015,1,C5.0.1,4,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,5,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,6,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,7,3
0,5,6/18/2015,6/25/2015,1,C5.0.1,8,5
0,5,6/18/2015,6/25/2015,2,C5.0.2,1,3
0,5,6/18/2015,6/25/2015,2,C5.0.2,2,4
0,5,6/18/2015,6/25/2015,2,C5.0.2,3,3
0,5,6/18/2015,6/25/2015,2,C5.0.2,4,3
0,5,6/18/2015,6/25/2015,2,C5.0.2,5,4
0,5,6/18/2015,6/25/2015,2,C5.0.2,6,3
0,5,6/18/2015,6/25/2015,2,C5.0.2,7,3
0,5,6/18/2015,6/25/2015,2,C5.0.2,8,4
0,6,6/18/2015,6/25/2015,1,C6.0.1,1,3
0,6,6/18/2015,6/25/2015,1,C6.0.1,2,5
0,6,6/18/2015,6/25/2015,1,C6.0.1,3,3
0,6,6/18/2015,6/25/2015,1,C6.0.1,4,5
0,6,6/18/2015,6/25/2015,1,C6.0.1,5,3
0,6,6/18/2015,6/25/2015,1,C6.0.1,6,3
0,6,6/18/2015,6/25/2015,1,C6.0.1,7,3
0,6,6/18/2015,6/25/2015,1,C6.0.1,8,3
0,6,6/18/2015,6/25/2015,2,C6.0.2,1,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,2,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,3,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,4,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,5,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,6,5
0,6,6/18/2015,6/25/2015,2,C6.0.2,7,3
0,6,6/18/2015,6/25/2015,2,C6.0.2,8,3
0,15,6/18/2015,6/25/2015,1,C15.0.1,1,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,2,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,3,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,4,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,5,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,6,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,7,NA
0,15,6/18/2015,6/25/2015,1,C15.0.1,8,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,1,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,2,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,3,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,4,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,5,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,6,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,7,NA
0,15,6/18/2015,6/25/2015,2,C15.0.2,8,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,1,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,2,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,3,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,4,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,5,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,6,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,7,NA
0,16,6/18/2015,6/25/2015,1,C16.0.1,8,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,1,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,2,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,3,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,4,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,5,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,6,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,7,NA
0,16,6/18/2015,6/25/2015,2,C16.0.2,8,NA
0,17,6/18/2015,6/25/2015,1,C17.0.1,1,3
0,17,6/18/2015,6/25/2015,1,C17.0.1,2,3
0,17,6/18/2015,6/25/2015,1,C17.0.1,3,4
0,17,6/18/2015,6/25/2015,1,C17.0.1,4,3
0,17,6/18/2015,6/25/2015,1,C17.0.1,5,4
0,17,6/18/2015,6/25/2015,1,C17.0.1,6,3
0,17,6/18/2015,6/25/2015,1,C17.0.1,7,3
0,17,6/18/2015,6/25/2015,1,C17.0.1,8,3
0,17,6/18/2015,6/25/2015,2,C17.0.2,1,5
