Pot,Treatment,Week,Sub_sample,Tube_weight,Tube_soil_weight,Soil_ww,Soil_dw,DF,Count1,Count2,Count3,CFU_mL,CFU_gdw,log_CFU_gdw
1,Control,0,1,1.01,1.73,0.72,0.288,0,0,0,0,0,0,NA
1,Control,0,2,0.98,1.49,0.51,0.204,0,0,0,0,0,0,NA
2,Control,0,1,0.98,1.5,0.52,0.208,0,0,0,0,0,0,NA
2,Control,0,2,0.98,1.46,0.48,0.192,0,0,0,0,0,0,NA
3,Manure_SA,0,1,0.98,1.49,0.51,0.204,0,38,35,40,4708.333333,23080.06536,4
3,Manure_SA,0,2,0.98,1.45,0.47,0.188,0,1,6,8,625,3324.468085,4
4,Manure_SA,0,1,0.99,1.49,0.5,0.2,0,41,63,50,6416.666667,32083.33333,5
4,Manure_SA,0,2,0.98,1.59,0.61,0.244,0,22,33,36,3791.666667,15539.61749,4
5,Manure_incorp,0,1,0.95,1.37,0.42,0.168,0,7,6,7,833.3333333,4960.31746,4
5,Manure_incorp,0,2,0.99,1.48,0.49,0.196,0,2,3,5,416.6666667,2125.85034,3
6,Manure_incorp,0,1,1.01,1.72,0.71,0.284,0,0,0,12,500,1760.56338,3
6,Manure_incorp,0,2,0.96,1.59,0.63,0.252,0,15,10,7,1333.333333,5291.005291,4
7,InocSoil_SA,0,1,1.03,1.53,0.5,0.2,-3,72,69,44,6166666.667,30833333.33,7
7,InocSoil_SA,0,2,0.94,1.5,0.56,0.224,-4,6,9,6,7000000,31250000,7
8,InocSoil_SA,0,1,0.99,1.52,0.53,0.212,-3,56,37,44,4566666.667,21540880.5,7
8,InocSoil_SA,0,2,0.99,1.5,0.51,0.204,-3,0,57,44,3366666.667,16503267.97,7
9,InocSoil_Incorp,0,1,0.99,1.47,0.48,0.192,-4,12,11,10,11000000,57291666.67,8
9,InocSoil_Incorp,0,2,0.99,1.57,0.58,0.232,-3,73,73,56,6733333.333,29022988.51,7
10,InocSoil_Incorp,0,1,0.95,1.68,0.73,0.292,-4,6,11,8,8333333.333,28538812.79,7
10,InocSoil_Incorp,0,2,0.95,1.6,0.65,0.26,-4,11,6,7,8000000,30769230.77,7
11,InocManure_SA,0,1,0.99,1.66,0.67,0.268,-4,26,26,15,22333333.33,83333333.33,8
