,Std_Curve_Num,Intercept,Slope,r_squared
1,1,-0.35099661,0.99148263,0.999929788
2,2,-0.143323886,0.635895139,0.999988364
3,1,-0.305187584,0.710507546,0.999946991
4,1,-1.204413845,0.697544267,0.999867147
5,1,-1.17613832,0.689987612,0.999939791
6,2,-0.089657659,0.622200984,0.999995454
7,1,-0.302612204,0.734450549,0.999947886
8,1,-0.335922257,0.731858612,0.999935718
9,1,-0.201193526,0.690114565,0.999977033
10,1,-0.263706365,0.760507423,0.99996047
11,1,-0.213364184,0.696944904,0.999974161
12,1,-0.336614176,0.618404889,0.999935452
