"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,4.52970027923584,0
2,"Leach_field",5,1,3.85632681846619,0
3,"Leach_field",5,1,3.93943905830383,0
4,"Control",5,1,3.64910244941711,0
5,"Control",5,1,3.6351158618927,0
6,"Control",5,1,3.81347322463989,0
1,"Leach_field",600,1,3.80581140518188,0
2,"Leach_field",600,1,3.69440674781799,0
3,"Leach_field",600,1,4.22422218322754,0
4,"Control",600,1,3.68290710449219,0
5,"Control",600,1,3.82274675369263,0
6,"Control",600,1,3.73428726196289,0
1,"Leach_field",1200,1,3.91645264625549,0
2,"Leach_field",1200,1,3.68171954154968,0
3,"Leach_field",1200,1,3.77636384963989,0
4,"Control",1200,1,3.65632081031799,0
5,"Control",1200,1,3.60481190681458,0
6,"Control",1200,1,3.56922030448914,0
1,"Leach_field",1800,1,4.18112516403198,0
2,"Leach_field",1800,1,3.72349572181702,0
3,"Leach_field",1800,1,3.70805859565735,0
4,"Control",1800,1,3.67620205879211,0
5,"Control",1800,1,3.68299102783203,0
6,"Control",1800,1,4.69304275512695,0
