"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,3.502907753,2.31469653544911,0.0833333333333333
"2",2,"Leach_field",5,1,3.404839516,2.24150728850164,0.0833333333333333
"3",3,"Leach_field",5,1,3.627889395,2.40797150948824,0.0833333333333333
"4",4,"Control",5,1,3.574749947,2.36831304002555,0.0833333333333333
"5",5,"Control",5,1,3.584527969,2.3756104697409,0.0833333333333333
"6",6,"Control",5,1,3.562705755,2.35932434634106,0.0833333333333333
"7",1,"Leach_field",600,1,3.380727053,2.22351193074867,10
"8",2,"Leach_field",600,1,3.370613575,2.2159641470678,10
"9",3,"Leach_field",600,1,3.660802126,2.43253458995714,10
"10",4,"Control",600,1,3.505245686,2.3164413568196,10
"11",5,"Control",600,1,3.489396095,2.30461265809714,10
"12",6,"Control",600,1,3.37828207,2.22168721695709,10
"13",1,"Leach_field",1200,1,3.334524632,2.18903062973232,20
"14",2,"Leach_field",1200,1,3.310467005,2.17107619660151,20
"15",3,"Leach_field",1200,1,3.403751135,2.24069501953242,20
"16",4,"Control",1200,1,3.638650417,2.41600256134212,20
"17",5,"Control",1200,1,3.470814228,2.29074483611715,20
"18",6,"Control",1200,1,3.457691431,2.28095116938411,20
"19",1,"Leach_field",1800,1,3.180094242,2.07377777829272,30
"20",2,"Leach_field",1800,1,3.184028149,2.07671369005885,30
"21",3,"Leach_field",1800,1,3.248842478,2.12508523293583,30
"22",4,"Control",1800,1,3.246861935,2.1236071350812,30
"23",5,"Control",1800,1,3.231236935,2.11194605073282,30
"24",6,"Control",1800,1,3.235322475,2.11499512763193,30
