Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,842.1511841,0
2,Leach_field,5,1,781.8776245,0
3,Leach_field,5,1,808.7481689,0
4,Control,5,1,816.74646,0
5,Control,5,1,822.9259033,0
6,Control,5,1,994.3475952,0
1,Leach_field,600,1,1447.876831,0
2,Leach_field,600,1,1497.098022,0
3,Leach_field,600,1,1372.254395,0
4,Control,600,1,1551.563354,0
5,Control,600,1,1636.983643,0
6,Control,600,1,1674.587769,0
1,Leach_field,1200,1,2099.187012,0
2,Leach_field,1200,1,2204.855469,0
3,Leach_field,1200,1,2183.934082,0
4,Control,1200,1,2422.339844,0
5,Control,1200,1,2412.112061,0
6,Control,1200,1,2388.404785,0
1,Leach_field,1800,1,2727.65918,0
2,Leach_field,1800,1,2917.484131,0
3,Leach_field,1800,1,2825.095215,0
4,Control,1800,1,2984.209717,0
5,Control,1800,1,3148.327637,0
6,Control,1800,1,3165.301758,0
