Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,53.2709198,0
2,Leach_field,5,1,55.26916885,0
3,Leach_field,5,1,55.31208801,0
4,Control,5,1,53.47640228,0
5,Control,5,1,53.4432373,0
6,Control,5,1,53.80540085,0
1,Leach_field,600,1,54.85503769,0
2,Leach_field,600,1,55.16760635,0
3,Leach_field,600,1,54.86073303,0
4,Control,600,1,54.03958511,0
5,Control,600,1,56.59177399,0
6,Control,600,1,54.93562698,0
1,Leach_field,1200,1,59.78693008,0
2,Leach_field,1200,1,55.57921982,0
3,Leach_field,1200,1,59.31480789,0
4,Control,1200,1,54.87104416,0
5,Control,1200,1,56.55065536,0
6,Control,1200,1,56.05976868,0
1,Leach_field,1800,1,59.86448288,0
2,Leach_field,1800,1,61.36750412,0
3,Leach_field,1800,1,60.34503174,0
4,Control,1800,1,55.12552261,0
5,Control,1800,1,59.31656647,0
6,Control,1800,1,57.00125504,0
