"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,842.151184082031,0
2,"Leach_field",5,1,781.877624511719,0
3,"Leach_field",5,1,808.748168945312,0
4,"Control",5,1,816.746459960937,0
5,"Control",5,1,822.925903320312,0
6,"Control",5,1,994.347595214844,0
1,"Leach_field",600,1,1447.87683105469,0
2,"Leach_field",600,1,1497.09802246094,0
3,"Leach_field",600,1,1372.25439453125,0
4,"Control",600,1,1551.56335449219,0
5,"Control",600,1,1636.98364257813,0
6,"Control",600,1,1674.58776855469,0
1,"Leach_field",1200,1,2099.18701171875,0
2,"Leach_field",1200,1,2204.85546875,0
3,"Leach_field",1200,1,2183.93408203125,0
4,"Control",1200,1,2422.33984375,0
5,"Control",1200,1,2412.11206054687,0
6,"Control",1200,1,2388.40478515625,0
1,"Leach_field",1800,1,2727.6591796875,0
2,"Leach_field",1800,1,2917.48413085937,0
3,"Leach_field",1800,1,2825.09521484375,0
4,"Control",1800,1,2984.20971679687,0
5,"Control",1800,1,3148.32763671875,0
6,"Control",1800,1,3165.3017578125,0
