Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Control,5,1,3.774001122,0
2,Control,5,1,4.240309238,0
3,Control,5,1,3.83680892,0
4,Leach_field,5,1,3.99357152,0
5,Leach_field,5,1,3.882856607,0
6,Leach_field,5,1,4.061053753,0
1,Control,600,1,3.772949457,0
2,Control,600,1,4.499325752,0
3,Control,600,1,3.67498374,0
4,Leach_field,600,1,4.086623192,0
5,Leach_field,600,1,3.665470123,0
6,Leach_field,600,1,3.550239086,0
1,Control,1200,1,3.501369476,0
2,Control,1200,1,3.73663497,0
3,Control,1200,1,3.822861671,0
4,Leach_field,1200,1,3.944866896,0
5,Leach_field,1200,1,3.65627265,0
6,Leach_field,1200,1,3.728606224,0
1,Control,1800,1,3.731389284,0
2,Control,1800,1,4.113974094,0
3,Control,1800,1,4.04752779,0
4,Leach_field,1800,1,3.758523941,0
5,Leach_field,1800,1,3.783161163,0
6,Leach_field,1800,1,3.772920132,0
