"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Control",5,1,909.5632324,501.610636548628,0.0833333333333333
"2",2,"Control",5,1,926.4008789,554.664364857584,0.0833333333333333
"3",3,"Control",5,1,927.2980957,557.491404630715,0.0833333333333333
"4",4,"Leach_field",5,1,901.7797241,477.085585815516,0.0833333333333333
"5",5,"Leach_field",5,1,904.6999512,486.286927295387,0.0833333333333333
"6",6,"Leach_field",5,1,980.1741333,724.098473669998,0.0833333333333333
"7",1,"Control",600,1,1357.310791,1912.41809856315,10
"8",2,"Control",600,1,1402.696899,2055.42515378509,10
"9",3,"Control",600,1,1234.902954,1526.72333254672,10
"10",4,"Leach_field",600,1,1243.147827,1552.70209698294,10
"11",5,"Leach_field",600,1,1114.346558,1146.86227065241,10
"12",6,"Leach_field",600,1,1078.065186,1032.54332157814,10
"13",1,"Control",1200,1,1696.825195,2982.19379119294,20
"14",2,"Control",1200,1,2113.826172,4296.12187124423,20
"15",3,"Control",1200,1,1627.134155,2762.60434312319,20
"16",4,"Leach_field",1200,1,1647.803467,2827.73126351442,20
"17",5,"Leach_field",1200,1,1580.10376,2614.4163051695,20
"18",6,"Leach_field",1200,1,1348.223511,1883.7849945134,20
"19",1,"Control",1800,1,2180.305908,4505.59282383817,30
"20",2,"Control",1800,1,2554.121338,5683.44759474784,30
"21",3,"Control",1800,1,2065.031982,4142.37629288709,30
"22",4,"Leach_field",1800,1,1912.291748,3661.10719886719,30
"23",5,"Leach_field",1800,1,1895.365112,3607.77307360635,30
"24",6,"Leach_field",1800,1,1399.611572,2045.70359914844,30
