"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,54.7800025939941,0
2,"Leach_field",5,1,55.547306060791,0
3,"Leach_field",5,1,54.4788551330566,0
4,"Control",5,1,57.374626159668,0
5,"Control",5,1,54.6885604858398,0
6,"Control",5,1,55.9872169494629,0
1,"Leach_field",600,1,59.1117782592774,0
2,"Leach_field",600,1,64.7781066894531,0
3,"Leach_field",600,1,62.787712097168,0
4,"Control",600,1,58.5683364868164,0
5,"Control",600,1,56.5777130126953,0
6,"Control",600,1,51.8033752441406,0
1,"Leach_field",1200,1,62.4834403991699,0
2,"Leach_field",1200,1,77.8079223632813,0
3,"Leach_field",1200,1,72.7851181030274,0
4,"Control",1200,1,61.5363807678223,0
5,"Control",1200,1,61.5442733764648,0
6,"Control",1200,1,56.7214622497559,0
1,"Leach_field",1800,1,70.0542984008789,0
2,"Leach_field",1800,1,93.2897720336914,0
3,"Leach_field",1800,1,83.1150054931641,0
4,"Control",1800,1,68.2552108764649,0
5,"Control",1800,1,66.5480651855469,0
6,"Control",1800,1,59.3084411621094,0
