"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,3.49110508,0
2,"Leach_field",5,1,3.430345535,0
3,"Leach_field",5,1,3.426134825,0
4,"Control",5,1,3.472895384,0
5,"Control",5,1,3.412284613,0
6,"Control",5,1,3.417460918,0
1,"Leach_field",600,1,3.402607679,0
2,"Leach_field",600,1,3.39725709,0
3,"Leach_field",600,1,3.564391375,0
4,"Control",600,1,3.411028385,0
5,"Control",600,1,3.903529882,0
6,"Control",600,1,3.414831877,0
1,"Leach_field",1200,1,2.93275857,0
2,"Leach_field",1200,1,3.475597858,0
3,"Leach_field",1200,1,3.41208148,0
4,"Control",1200,1,3.416112185,0
5,"Control",1200,1,3.436610222,0
6,"Control",1200,1,3.436610222,0
1,"Leach_field",1800,2,3.41208171844482,0
2,"Leach_field",1800,2,3.34368467330933,0
3,"Leach_field",1800,2,3.09320974349976,0
4,"Control",1800,2,3.51551866531372,0
5,"Control",1800,2,3.41484045982361,0
6,"Control",1800,2,3.58511590957642,0
