"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,799.4155273,0
2,"Leach_field",5,1,844.3701782,0
3,"Leach_field",5,1,788.8066406,0
4,"Control",5,1,767.1831055,0
5,"Control",5,1,779.1216431,0
6,"Control",5,1,1013.381714,0
1,"Leach_field",600,1,1192.885498,0
2,"Leach_field",600,1,1000.681519,0
3,"Leach_field",600,1,1017.510864,0
4,"Control",600,1,1051.265137,0
5,"Control",600,1,1213.217651,0
6,"Control",600,1,1289.995239,0
1,"Leach_field",1200,1,1553.928833,0
2,"Leach_field",1200,1,1279.067383,0
3,"Leach_field",1200,1,1143.297729,0
4,"Control",1200,1,1247.451416,0
5,"Control",1200,1,1687.929688,0
6,"Control",1200,1,1687.929688,0
1,"Leach_field",1800,2,1636.81213378906,0
2,"Leach_field",1800,2,1875.029296875,0
3,"Leach_field",1800,2,1462.52844238281,0
4,"Control",1800,2,1370.99523925781,0
5,"Control",1800,2,1432.27368164063,0
6,"Control",1800,2,2035.24450683594,0
