"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,47.93528366,0
2,"Leach_field",5,1,52.76992035,0
3,"Leach_field",5,1,52.66007614,0
4,"Control",5,1,49.05858231,0
5,"Control",5,1,52.75495529,0
6,"Control",5,1,58.27114868,0
1,"Leach_field",600,1,91.50959015,0
2,"Leach_field",600,1,54.93548584,0
3,"Leach_field",600,1,55.20395279,0
4,"Control",600,1,56.50783539,0
5,"Control",600,1,54.46525192,0
6,"Control",600,1,67.37125397,0
1,"Leach_field",1200,1,127.0571976,0
2,"Leach_field",1200,1,60.81541824,0
3,"Leach_field",1200,1,53.37518311,0
4,"Control",1200,1,51.94877625,0
5,"Control",1200,1,57.13446045,0
6,"Control",1200,1,57.13446045,0
1,"Leach_field",1800,2,79.9410171508789,0
2,"Leach_field",1800,2,160.350219726562,0
3,"Leach_field",1800,2,69.5317535400391,0
4,"Control",1800,2,57.8223724365234,0
5,"Control",1800,2,61.3403778076172,0
6,"Control",1800,2,60.9791717529297,0
