"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,4.517089367,2.92917497029893,0.0833333333333333
"2",2,"Leach_field",5,1,4.209639549,2.71729433717336,0.0833333333333333
"3",3,"Leach_field",5,1,3.974430323,2.55519868186919,0.0833333333333333
"4",4,"Control",5,1,4.035019875,2.59695428518054,0.0833333333333333
"5",5,"Control",5,1,4.249495506,2.74476127619424,0.0833333333333333
"6",6,"Control",5,1,3.755904198,2.40460027195412,0.0833333333333333
"7",1,"Leach_field",600,1,4.354937553,2.81742720854622,10
"8",2,"Leach_field",600,1,4.126111984,2.65973088349899,10
"9",3,"Leach_field",600,1,4.371366978,2.82874963180714,10
"10",4,"Control",600,1,3.917711973,2.51611093744959,10
"11",5,"Control",600,1,3.849273682,2.46894633503921,10
"12",6,"Control",600,1,4.235814095,2.73533266100237,10
"13",1,"Leach_field",1200,1,3.963871002,2.54792167115762,20
"14",2,"Leach_field",1200,1,3.767430782,2.41254387696772,20
"15",3,"Leach_field",1200,1,3.775261879,2.41794071799115,20
"16",4,"Control",1200,1,3.658749819,2.33764582889297,20
"17",5,"Control",1200,1,3.725312471,2.38351782498008,20
"18",6,"Control",1200,2,3.766308784,2.53384684528776,20
"19",1,"Leach_field",1800,2,3.685609818,2.47121893770871,30
"20",2,"Leach_field",1800,2,4.147553444,2.82971873206619,30
"21",3,"Leach_field",1800,2,4.579555988,3.16498220247483,30
"22",4,"Control",1800,2,3.97226572,2.69368348994903,30
"23",5,"Control",1800,2,3.766932964,2.53433125158552,30
"24",6,"Control",1800,2,4.048701763,2.75300307821628,30
