"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,48.48104477,0
2,"Leach_field",5,1,52.44686508,0
3,"Leach_field",5,1,51.47740936,0
4,"Control",5,1,50.66551208,0
5,"Control",5,1,52.85354614,0
6,"Control",5,1,53.20291901,0
1,"Leach_field",600,1,52.94720078,0
2,"Leach_field",600,1,54.46437836,0
3,"Leach_field",600,1,54.2889595,0
4,"Control",600,1,54.74854279,0
5,"Control",600,1,51.94191742,0
6,"Control",600,1,51.57863617,0
1,"Leach_field",1200,1,55.28385162,0
2,"Leach_field",1200,1,54.27542114,0
3,"Leach_field",1200,1,56.80718994,0
4,"Control",1200,1,53.87257385,0
5,"Control",1200,1,54.05906677,0
6,"Control",1200,1,55.09690475,0
1,"Leach_field",1800,1,57.90449905,0
2,"Leach_field",1800,1,54.03458786,0
3,"Leach_field",1800,1,55.92380905,0
4,"Control",1800,1,54.83979416,0
5,"Control",1800,1,53.66246796,0
6,"Control",1800,1,53.81208801,0
