"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,3.99572443962097,0
2,"Leach_field",5,1,3.87189865112305,0
3,"Leach_field",5,1,3.85182213783264,0
4,"Control",5,1,3.83936142921448,0
5,"Control",5,1,3.75213932991028,0
6,"Control",5,1,4.24248838424683,0
1,"Leach_field",600,1,3.74767112731934,0
2,"Leach_field",600,1,3.87841415405273,0
3,"Leach_field",600,1,4.41597890853882,0
4,"Control",600,1,3.80399537086487,0
5,"Control",600,1,4.02808094024658,0
6,"Control",600,1,3.94374299049377,0
1,"Leach_field",1200,1,3.93571448326111,0
2,"Leach_field",1200,1,4.33172702789307,0
3,"Leach_field",1200,1,3.94081234931946,0
4,"Control",1200,1,4.03849220275879,0
5,"Control",1200,1,4.00073528289795,0
6,"Control",1200,2,3.996973991,0
1,"Leach_field",1800,2,4.422468185,0
2,"Leach_field",1800,2,4.38560009,0
3,"Leach_field",1800,2,4.143774986,0
4,"Control",1800,2,0,0
5,"Control",1800,2,4.371869087,0
6,"Control",1800,2,3.767142296,0
