"Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration"
1,"Leach_field",5,1,822.0361328125,0
2,"Leach_field",5,1,1147.8271484375,0
3,"Leach_field",5,1,842.279663085938,0
4,"Control",5,1,794.777587890625,0
5,"Control",5,1,774.849975585938,0
6,"Control",5,1,808.939453125,0
1,"Leach_field",600,1,1570.04956054688,0
2,"Leach_field",600,1,1505.98767089844,0
3,"Leach_field",600,1,1451.91613769531,0
4,"Control",600,1,1451.52429199219,0
5,"Control",600,1,1612.27807617188,0
6,"Control",600,1,1521.04296875,0
1,"Leach_field",1200,1,2471.09155273438,0
2,"Leach_field",1200,1,2290.08081054687,0
3,"Leach_field",1200,1,2265.23803710937,0
4,"Control",1200,1,2212.90625,0
5,"Control",1200,1,2148.45532226562,0
6,"Control",1200,2,2158.256348,0
1,"Leach_field",1800,2,3222.415771,0
2,"Leach_field",1800,2,2569.838867,0
3,"Leach_field",1800,2,2842.310303,0
4,"Control",1800,2,0,0
5,"Control",1800,2,3251.115479,0
6,"Control",1800,2,2725.664307,0
