"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,822.0361328,225.821561047528,0.0833333333333333
"2",2,"Leach_field",5,1,1147.827148,1252.35623772694,0.0833333333333333
"3",3,"Leach_field",5,1,842.2796631,289.606886184882,0.0833333333333333
"4",4,"Control",5,1,794.7775879,139.93263142651,0.0833333333333333
"5",5,"Control",5,1,774.8499756,77.1427320893076,0.0833333333333333
"6",6,"Control",5,1,808.9394531,184.555242351907,0.0833333333333333
"7",1,"Leach_field",600,1,1570.049561,2582.73653673451,10
"8",2,"Leach_field",600,1,1505.987671,2380.88397337192,10
"9",3,"Leach_field",600,1,1451.916138,2210.51001873219,10
"10",4,"Control",600,1,1451.524292,2209.27535145117,10
"11",5,"Control",600,1,1612.278076,2715.79433443211,10
"12",6,"Control",600,1,1521.042969,2428.32170106755,10
"13",1,"Leach_field",1200,1,2471.091553,5421.82910460191,20
"14",2,"Leach_field",1200,1,2290.080811,4851.48248715329,20
"15",3,"Leach_field",1200,1,2265.238037,4773.20540833252,20
"16",4,"Control",1200,1,2212.90625,4608.31321811935,20
"17",5,"Control",1200,1,2148.455322,4405.23483520092,20
"18",6,"Control",1200,2,2158.256348,4606.9198420252,20
"19",1,"Leach_field",1800,2,3222.415771,7844.6687615037,30
"20",2,"Leach_field",1800,2,2569.838867,5859.17662551702,30
"21",3,"Leach_field",1800,2,2842.310303,6688.18220346956,30
"22",4,"Control",1800,2,NA,NA,30
"23",5,"Control",1800,2,3251.115479,7931.98880637478,30
"24",6,"Control",1800,2,2725.664307,6333.28195135715,30
