Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,3.325140238,0
2,Leach_field,5,1,3.640316963,0
3,Leach_field,5,1,3.447857618,0
4,Control,5,1,3.644209862,0
5,Control,5,1,3.689352512,0
6,Control,5,1,3.921551943,0
1,Leach_field,600,1,4.047038078,0
2,Leach_field,600,1,4.061959267,0
3,Leach_field,600,1,4.238199711,0
4,Control,600,1,4.295244694,0
5,Control,600,1,4.771521091,0
6,Control,600,1,4.721680641,0
1,Leach_field,1200,1,4.37246418,0
2,Leach_field,1200,1,4.391002178,0
3,Leach_field,1200,1,4.195392609,0
4,Control,1200,1,4.378538132,0
5,Control,1200,1,4.382902622,0
6,Control,1200,2,3.985997438,0
1,Leach_field,1800,2,3.926788807,0
2,Leach_field,1800,2,4.364438057,0
3,Leach_field,1800,2,4.670173168,0
4,Control,1800,2,4.358611584,0
5,Control,1800,2,4.297217369,0
6,Control,1800,2,4.222560406,0
