Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,946.838562,0
2,Leach_field,5,1,934.7033081,0
3,Leach_field,5,1,986.906311,0
4,Control,5,1,1280.8396,0
5,Control,5,1,947.4524536,0
6,Control,5,1,1050.057129,0
1,Leach_field,600,1,1724.838135,0
2,Leach_field,600,1,1838.450806,0
3,Leach_field,600,1,1644.121216,0
4,Control,600,1,1586.466187,0
5,Control,600,1,1678.967651,0
6,Control,600,1,1691.357422,0
1,Leach_field,1200,1,2470.049316,0
2,Leach_field,1200,1,2508.136475,0
3,Leach_field,1200,1,2251.478516,0
4,Control,1200,1,1872.919678,0
5,Control,1200,1,2184.795166,0
6,Control,1200,2,2310.241455,0
1,Leach_field,1800,2,3241.144043,0
2,Leach_field,1800,2,3305.674805,0
3,Leach_field,1800,2,3069.036377,0
4,Control,1800,2,2123.286133,0
5,Control,1800,2,2767.936768,0
6,Control,1800,2,2826.922607,0
