Chamber,Treatment,Time,Std_Curve_Num,Area,Concentration
1,Leach_field,5,1,58.13101578,0
2,Leach_field,5,1,54.13485336,0
3,Leach_field,5,1,57.15418625,0
4,Control,5,1,55.84521103,0
5,Control,5,1,57.50261688,0
6,Control,5,1,58.33114243,0
1,Leach_field,600,1,56.28786469,0
2,Leach_field,600,1,55.82535172,0
3,Leach_field,600,1,56.35167694,0
4,Control,600,1,55.05810928,0
5,Control,600,1,57.43452454,0
6,Control,600,1,55.69010544,0
1,Leach_field,1200,1,55.4638176,0
2,Leach_field,1200,1,57.06062698,0
3,Leach_field,1200,1,56.80514526,0
4,Control,1200,1,58.66666794,0
5,Control,1200,1,54.64521027,0
6,Control,1200,2,55.00000381,0
1,Leach_field,1800,2,56.75247192,0
2,Leach_field,1800,2,54.17750168,0
3,Leach_field,1800,2,60.20544434,0
4,Control,1800,2,57.41619873,0
5,Control,1800,2,52.96619034,0
6,Control,1800,2,55.10400391,0
