"","Chamber","Treatment","Time","Std_Curve_Num","Area","Concentration","Time_min"
"1",1,"Leach_field",5,1,58.13101578,0.374216784832374,0.0833333333333333
"2",2,"Leach_field",5,1,54.13485336,0.336089299279094,0.0833333333333333
"3",3,"Leach_field",5,1,57.15418625,0.364896829865906,0.0833333333333333
"4",4,"Control",5,1,55.84521103,0.352407864567506,0.0833333333333333
"5",5,"Control",5,1,57.50261688,0.368221215217502,0.0833333333333333
"6",6,"Control",5,1,58.33114243,0.376126198203191,0.0833333333333333
"7",1,"Leach_field",600,1,56.28786469,0.356631234203907,10
"8",2,"Leach_field",600,1,55.82535172,0.352218386394313,10
"9",3,"Leach_field",600,1,56.35167694,0.357240068476463,10
"10",4,"Control",600,1,55.05810928,0.344898107093212,10
"11",5,"Control",600,1,57.43452454,0.367571544499253,10
"12",6,"Control",600,1,55.69010544,0.350927998255676,10
"13",1,"Leach_field",1200,1,55.4638176,0.34876898031704,20
"14",2,"Leach_field",1200,1,57.06062698,0.364004178531855,20
"15",3,"Leach_field",1200,1,56.80514526,0.361566621054292,20
"16",4,"Control",1200,1,58.66666794,0.379327455482239,20
"17",5,"Control",1200,1,54.64521027,0.340958627316327,20
"18",6,"Control",1200,2,55.00000381,NA,20
"19",1,"Leach_field",1800,2,56.75247192,NA,30
"20",2,"Leach_field",1800,2,54.17750168,NA,30
"21",3,"Leach_field",1800,2,60.20544434,NA,30
"22",4,"Control",1800,2,57.41619873,NA,30
"23",5,"Control",1800,2,52.96619034,NA,30
"24",6,"Control",1800,2,55.10400391,NA,30
