Chamber,Height,unit,,Height,unit
1,34.925,cm,,13.75,in
1,33.9725,cm,,13.375,in
1,33.9725,cm,,13.375,in
1,34.925,cm,,13.75,in
2,38.1,cm,,15,in
2,38.1,cm,,15,in
2,37.1475,cm,,14.625,in
2,37.1475,cm,,14.625,in
3,38.4175,cm,,15.125,in
3,38.4175,cm,,15.125,in
3,38.1,cm,,15,in
3,38.4175,cm,,15.125,in
4,36.195,cm,,14.25,in
4,35.56,cm,,14,in
4,33.02,cm,,13,in
4,35.8775,cm,,14.125,in
5,33.3375,cm,,13.125,in
5,33.9725,cm,,13.375,in
5,35.56,cm,,14,in
5,33.9725,cm,,13.375,in
6,34.29,cm,,13.5,in
6,35.2425,cm,,13.875,in
6,33.9725,cm,,13.375,in
6,35.56,cm,,14,in
