,Date,Homeowner,Gas,Chamber,Treatment,Mass_flux_linear
1,20150630,todd,CH4,1,Leach_field,NA
2,20150630,todd,CH4,2,Leach_field,NA
3,20150630,todd,CH4,3,Leach_field,NA
4,20150630,todd,CH4,4,Control,NA
5,20150630,todd,CH4,5,Control,NA
6,20150630,todd,CH4,6,Control,NA
7,20150630,todd,CO2,1,Leach_field,NA
8,20150630,todd,CO2,2,Leach_field,NA
9,20150630,todd,CO2,3,Leach_field,NA
10,20150630,todd,CO2,4,Control,NA
11,20150630,todd,CO2,5,Control,NA
12,20150630,todd,CO2,6,Control,NA
13,20150630,todd,N2O,1,Leach_field,0.049951736
14,20150630,todd,N2O,2,Leach_field,0.060347514
15,20150630,todd,N2O,3,Leach_field,0.07789723
16,20150630,todd,N2O,4,Control,0.054917958
17,20150630,todd,N2O,5,Control,-0.015608905
18,20150630,todd,N2O,6,Control,0.020723322
19,20150715,todd,CH4,1,Leach_field,NA
20,20150715,todd,CH4,2,Leach_field,NA
21,20150715,todd,CH4,3,Leach_field,NA
22,20150715,todd,CH4,4,Control,NA
23,20150715,todd,CH4,5,Control,NA
24,20150715,todd,CH4,6,Control,NA
25,20150715,todd,CO2,1,Leach_field,NA
26,20150715,todd,CO2,2,Leach_field,NA
27,20150715,todd,CO2,3,Leach_field,NA
28,20150715,todd,CO2,4,Control,NA
29,20150715,todd,CO2,5,Control,NA
30,20150715,todd,CO2,6,Control,NA
31,20150715,todd,N2O,1,Leach_field,0.084179443
32,20150715,todd,N2O,2,Leach_field,0.012448786
33,20150715,todd,N2O,3,Leach_field,0.042620333
34,20150715,todd,N2O,4,Control,0.032036074
35,20150715,todd,N2O,5,Control,0.012519903
36,20150715,todd,N2O,6,Control,0.014672527
37,20150723,todd,CH4,1,Leach_field,NA
38,20150723,todd,CH4,2,Leach_field,NA
39,20150723,todd,CH4,3,Leach_field,NA
40,20150723,todd,CH4,4,Control,NA
41,20150723,todd,CH4,5,Control,NA
42,20150723,todd,CH4,6,Control,NA
43,20150723,todd,CO2,1,Leach_field,NA
44,20150723,todd,CO2,2,Leach_field,NA
45,20150723,todd,CO2,3,Leach_field,NA
46,20150723,todd,CO2,4,Control,NA
47,20150723,todd,CO2,5,Control,NA
48,20150723,todd,CO2,6,Control,NA
49,20150723,todd,N2O,1,Leach_field,0.069003968
50,20150723,todd,N2O,2,Leach_field,-0.023682988
51,20150723,todd,N2O,3,Leach_field,0.060194851
52,20150723,todd,N2O,4,Control,0.028528127
53,20150723,todd,N2O,5,Control,0.055872566
54,20150723,todd,N2O,6,Control,0.001419498
55,20150729,todd,CH4,1,Leach_field,NA
56,20150729,todd,CH4,2,Leach_field,NA
57,20150729,todd,CH4,3,Leach_field,NA
58,20150729,todd,CH4,4,Control,NA
59,20150729,todd,CH4,5,Control,NA
60,20150729,todd,CH4,6,Control,NA
61,20150729,todd,CO2,1,Leach_field,NA
62,20150729,todd,CO2,2,Leach_field,NA
63,20150729,todd,CO2,3,Leach_field,NA
64,20150729,todd,CO2,4,Control,NA
65,20150729,todd,CO2,5,Control,NA
66,20150729,todd,CO2,6,Control,NA
67,20150729,todd,N2O,1,Leach_field,-0.035051573
68,20150729,todd,N2O,2,Leach_field,0.038461852
69,20150729,todd,N2O,3,Leach_field,-0.004490463
70,20150729,todd,N2O,4,Control,0.036715405
71,20150729,todd,N2O,5,Control,-0.037855808
72,20150729,todd,N2O,6,Control,-0.069164778
73,20150803,todd,CH4,1,Leach_field,NA
74,20150803,todd,CH4,2,Leach_field,NA
75,20150803,todd,CH4,3,Leach_field,NA
76,20150803,todd,CH4,4,Control,NA
77,20150803,todd,CH4,5,Control,NA
78,20150803,todd,CH4,6,Control,NA
79,20150803,todd,CO2,1,Leach_field,NA
80,20150803,todd,CO2,2,Leach_field,NA
81,20150803,todd,CO2,3,Leach_field,NA
82,20150803,todd,CO2,4,Control,NA
83,20150803,todd,CO2,5,Control,NA
84,20150803,todd,CO2,6,Control,NA
85,20150803,todd,N2O,1,Leach_field,0.083612549
86,20150803,todd,N2O,2,Leach_field,0.101817376
87,20150803,todd,N2O,3,Leach_field,0.043230098
88,20150803,todd,N2O,4,Control,0.070693981
89,20150803,todd,N2O,5,Control,0.055939288
90,20150803,todd,N2O,6,Control,0.070835025
